_id,latest_count_id,latest_count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,count_duration,total_vehicle,total_bike,total_heavy_pct,total_pedestrian,am_peak_start,am_peak_vehicle,am_peak_bike,am_peak_heavy_pct,pm_peak_start,pm_peak_vehicle,pm_peak_bike,pm_peak_heavy_pct,n_appr_vehicle,n_appr_bike,n_appr_heavy_pct,e_appr_vehicle,e_appr_bike,e_appr_heavy_pct,s_appr_vehicle,s_appr_bike,s_appr_heavy_pct,w_appr_vehicle,w_appr_bike,w_appr_heavy_pct
1,115233,1/22/2026,Billy Bishop Way: Wilson Ave - Dufferin St,-79.45459442,43.72969476,1,14661251,,14,15171,1,0.01,18,2026-01-22T08:45:00,1001,0,0.016,2026-01-22T15:00:00,1395,0,0.006,3945,0,0.004,3651,0,0.012,0,0,0,7575,1,0.012
2,115436,1/20/2026,Bathurst St / Niagara St,-79.40186502,43.64191883,2,13467969,2363,14,15049,503,0.033,6644,2026-01-20T08:00:00,1306,30,0.029,2026-01-20T17:30:00,1418,53,0.01,4321,161,0.047,17,25,0,7372,235,0.03,3339,82,0.022
3,115434,1/20/2026,Bathurst St / Front St W,-79.401422,43.6407498,2,13468126,297,14,17082,413,0.033,4873,2026-01-20T08:00:00,1314,17,0.034,2026-01-20T17:30:00,1675,54,0.01,5884,156,0.039,3672,72,0.028,7526,184,0.03,0,1,0
4,115437,1/20/2026,Bathurst St / Wellington St W,-79.40215258,43.64264449,2,13467884,2528,14,13956,817,0.036,5086,2026-01-20T08:00:00,1012,67,0.04,2026-01-20T17:45:00,1394,97,0.007,4486,167,0.046,2044,197,0.03,7394,206,0.031,32,247,0
5,115439,1/20/2026,Bathurst St / Queen St W,-79.4040105,43.64718829,2,13467252,296,14,20497,605,0.031,10329,2026-01-20T08:00:00,1714,21,0.038,2026-01-20T17:15:00,1921,95,0.013,4821,102,0.032,5348,182,0.032,5692,115,0.03,4636,206,0.029
6,115438,1/20/2026,Bathurst St / King St W,-79.40270553,43.64392631,2,13467722,201,14,16314,869,0.04,11384,2026-01-20T08:30:00,1325,50,0.04,2026-01-20T17:45:00,1410,98,0.011,5812,189,0.042,814,231,0.107,5225,181,0.034,4463,268,0.034
7,115435,1/20/2026,Bathurst St / Fort York Blvd,-79.40064957,43.63883947,2,14255097,1919,14,18728,495,0.032,8045,2026-01-20T08:00:00,1472,31,0.039,2026-01-20T17:30:00,1865,60,0.011,6174,166,0.037,2666,110,0.031,4384,111,0.03,5504,108,0.029
8,115336,1/14/2026,Eglinton Ave W / Atlas Ave,-79.43838613,43.69825332,2,13458518,,14,22334,46,0.07,1535,2026-01-14T09:00:00,1722,3,0.079,2026-01-14T18:00:00,1665,7,0.054,287,0,0.014,10723,22,0.071,1405,2,0.016,9919,22,0.078
9,115335,1/14/2026,Eglinton Ave W / Winona Dr,-79.43904024,43.6981138,2,13458554,,14,20928,46,0.074,1660,2026-01-14T07:00:00,1612,3,0.078,2026-01-14T16:30:00,1586,6,0.062,0,0,0,10754,13,0.072,679,2,0.007,9495,31,0.082
10,115330,1/14/2026,Marlee Ave / Livingstone Ave,-79.43968136,43.6988046,2,13458417,,14,6449,57,0.055,1243,2026-01-14T08:00:00,607,1,0.061,2026-01-14T17:30:00,582,7,0.031,3090,33,0.065,0,0,0,1952,19,0.068,1407,5,0.016
11,115329,1/14/2026,Eglinton Ave W / Marlee Ave,-79.43937584,43.69804228,2,13458567,102,14,22767,74,0.072,3292,2026-01-14T09:00:00,1786,6,0.082,2026-01-14T18:15:00,1767,8,0.054,3707,31,0.057,10176,17,0.075,0,0,0,8884,26,0.074
12,115327,1/14/2026,Eglinton Ave W / Oakwood Ave,-79.44277173,43.6972852,2,13458706,103,14,23633,61,0.064,3462,2026-01-14T07:45:00,1855,0,0.068,2026-01-14T18:15:00,1786,5,0.041,0,2,0,10630,28,0.067,7389,7,0.051,5614,24,0.076
