_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
1,MondayNight,2021-01-04T00:00:00,M,M,0,0,M
2,MondayNight,2021-01-11T00:00:00,M,0,M,0,0
3,MondayNight,2021-01-18T00:00:00,M,M,0,0,M
4,MondayNight,2021-01-25T00:00:00,M,0,M,0,0
5,MondayNight,2021-02-01T00:00:00,M,M,0,0,0
6,MondayNight,2021-02-08T00:00:00,M,0,M,0,0
7,MondayNight,2021-02-15T00:00:00,M,M,0,0,0
8,MondayNight,2021-02-22T00:00:00,M,0,M,0,0
9,MondayNight,2021-03-01T00:00:00,M,M,0,0,0
10,MondayNight,2021-03-08T00:00:00,M,0,M,0,0
11,MondayNight,2021-03-15T00:00:00,M,M,0,M,0
12,MondayNight,2021-03-22T00:00:00,M,0,M,0,0
13,MondayNight,2021-03-29T00:00:00,M,M,0,M,0
14,MondayNight,2021-04-05T00:00:00,M,0,M,0,0
15,MondayNight,2021-04-12T00:00:00,M,M,0,M,0
16,MondayNight,2021-04-19T00:00:00,M,0,M,0,0
17,MondayNight,2021-04-26T00:00:00,M,M,0,M,0
18,MondayNight,2021-05-03T00:00:00,M,0,M,0,0
19,MondayNight,2021-05-10T00:00:00,M,M,0,M,0
20,MondayNight,2021-05-17T00:00:00,M,0,M,0,0
21,MondayNight,2021-05-24T00:00:00,M,M,0,M,0
22,MondayNight,2021-05-31T00:00:00,M,0,M,0,0
23,MondayNight,2021-06-07T00:00:00,M,M,0,M,0
24,MondayNight,2021-06-14T00:00:00,M,0,M,0,0
25,MondayNight,2021-06-21T00:00:00,M,M,0,M,0
26,MondayNight,2021-06-28T00:00:00,M,0,M,0,0
27,MondayNight,2021-07-05T00:00:00,M,M,0,M,0
28,MondayNight,2021-07-12T00:00:00,M,0,M,0,0
29,MondayNight,2021-07-19T00:00:00,M,M,0,M,0
30,MondayNight,2021-07-26T00:00:00,M,0,M,0,0
31,MondayNight,2021-08-02T00:00:00,M,M,0,M,0
32,MondayNight,2021-08-09T00:00:00,M,0,M,0,0
33,MondayNight,2021-08-16T00:00:00,M,M,0,M,0
34,MondayNight,2021-08-23T00:00:00,M,0,M,0,0
35,MondayNight,2021-08-30T00:00:00,M,M,0,M,0
36,MondayNight,2021-09-06T00:00:00,M,0,M,0,0
37,MondayNight,2021-09-13T00:00:00,M,M,0,M,0
38,MondayNight,2021-09-20T00:00:00,M,0,M,0,0
39,MondayNight,2021-09-27T00:00:00,M,M,0,M,0
40,MondayNight,2021-10-04T00:00:00,M,0,M,0,0
41,MondayNight,2021-10-11T00:00:00,M,M,0,M,0
42,MondayNight,2021-10-18T00:00:00,M,0,M,0,0
43,MondayNight,2021-10-25T00:00:00,M,M,0,M,0
44,MondayNight,2021-11-01T00:00:00,M,0,M,0,0
45,MondayNight,2021-11-08T00:00:00,M,M,0,M,0
46,MondayNight,2021-11-15T00:00:00,M,0,M,0,0
47,MondayNight,2021-11-22T00:00:00,M,M,0,M,0
48,MondayNight,2021-11-29T00:00:00,M,0,M,0,0
49,MondayNight,2021-12-06T00:00:00,M,M,0,M,0
50,MondayNight,2021-12-13T00:00:00,M,0,M,0,0
51,MondayNight,2021-12-20T00:00:00,M,M,0,0,0
52,MondayNight,2021-12-27T00:00:00,M,0,M,0,0
53,Tuesday1,2021-01-05T00:00:00,T,T,0,0,T
54,Tuesday1,2021-01-12T00:00:00,T,0,T,0,0
55,Tuesday1,2021-01-19T00:00:00,T,T,0,0,T
56,Tuesday1,2021-01-26T00:00:00,T,0,T,0,0
57,Tuesday1,2021-02-02T00:00:00,T,T,0,0,0
58,Tuesday1,2021-02-09T00:00:00,T,0,T,0,0
59,Tuesday1,2021-02-16T00:00:00,T,T,0,0,0
60,Tuesday1,2021-02-23T00:00:00,T,0,T,0,0
61,Tuesday1,2021-03-02T00:00:00,T,T,0,0,0
62,Tuesday1,2021-03-09T00:00:00,T,0,T,0,0
63,Tuesday1,2021-03-16T00:00:00,T,T,0,T,0
64,Tuesday1,2021-03-23T00:00:00,T,0,T,0,0
65,Tuesday1,2021-03-30T00:00:00,T,T,0,T,0
