_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste
1,MondayNight,2022-01-03T00:00:00,M,M,0,0
2,MondayNight,2022-01-10T00:00:00,M,0,M,0
3,MondayNight,2022-01-17T00:00:00,M,M,0,0
4,MondayNight,2022-01-24T00:00:00,M,0,M,0
5,MondayNight,2022-01-31T00:00:00,M,M,0,0
6,MondayNight,2022-02-07T00:00:00,M,0,M,0
7,MondayNight,2022-02-14T00:00:00,M,M,0,0
8,MondayNight,2022-02-21T00:00:00,M,0,M,0
9,MondayNight,2022-02-28T00:00:00,M,M,0,0
10,MondayNight,2022-03-07T00:00:00,M,0,M,0
11,MondayNight,2022-03-14T00:00:00,M,M,0,M
12,MondayNight,2022-03-21T00:00:00,M,0,M,0
13,MondayNight,2022-03-28T00:00:00,M,M,0,M
14,MondayNight,2022-04-04T00:00:00,M,0,M,0
15,MondayNight,2022-04-11T00:00:00,M,M,0,M
16,MondayNight,2022-04-18T00:00:00,M,0,M,0
17,MondayNight,2022-04-25T00:00:00,M,M,0,M
18,MondayNight,2022-05-02T00:00:00,M,0,M,0
19,MondayNight,2022-05-09T00:00:00,M,M,0,M
20,MondayNight,2022-05-16T00:00:00,M,0,M,0
21,MondayNight,2022-05-23T00:00:00,M,M,0,M
22,MondayNight,2022-05-30T00:00:00,M,0,M,0
23,MondayNight,2022-06-06T00:00:00,M,M,0,M
24,MondayNight,2022-06-13T00:00:00,M,0,M,0
25,MondayNight,2022-06-20T00:00:00,M,M,0,M
26,MondayNight,2022-06-27T00:00:00,M,0,M,0
27,MondayNight,2022-07-04T00:00:00,M,M,0,M
28,MondayNight,2022-07-11T00:00:00,M,0,M,0
29,MondayNight,2022-07-18T00:00:00,M,M,0,M
30,MondayNight,2022-07-25T00:00:00,M,0,M,0
31,MondayNight,2022-08-01T00:00:00,M,M,0,M
32,MondayNight,2022-08-08T00:00:00,M,0,M,0
33,MondayNight,2022-08-15T00:00:00,M,M,0,M
34,MondayNight,2022-08-22T00:00:00,M,0,M,0
35,MondayNight,2022-08-29T00:00:00,M,M,0,M
36,MondayNight,2022-09-05T00:00:00,M,0,M,0
37,MondayNight,2022-09-12T00:00:00,M,M,0,M
38,MondayNight,2022-09-19T00:00:00,M,0,M,0
39,MondayNight,2022-09-26T00:00:00,M,M,0,M
40,MondayNight,2022-10-03T00:00:00,M,0,M,0
41,MondayNight,2022-10-10T00:00:00,M,M,0,M
42,MondayNight,2022-10-17T00:00:00,M,0,M,0
43,MondayNight,2022-10-24T00:00:00,M,M,0,M
44,MondayNight,2022-10-31T00:00:00,M,0,M,0
45,MondayNight,2022-11-07T00:00:00,M,M,0,M
46,MondayNight,2022-11-14T00:00:00,M,0,M,0
47,MondayNight,2022-11-21T00:00:00,M,M,0,M
48,MondayNight,2022-11-28T00:00:00,M,0,M,0
49,MondayNight,2022-12-05T00:00:00,M,M,0,M
50,MondayNight,2022-12-12T00:00:00,M,0,M,0
51,MondayNight,2022-12-19T00:00:00,M,M,0,0
52,MondayNight,2022-12-26T00:00:00,M,0,M,0
53,Tuesday1,2022-01-04T00:00:00,T,T,0,0
54,Tuesday1,2022-01-11T00:00:00,T,0,T,0
55,Tuesday1,2022-01-18T00:00:00,T,T,0,0
56,Tuesday1,2022-01-25T00:00:00,T,0,T,0
57,Tuesday1,2022-02-01T00:00:00,T,T,0,0
58,Tuesday1,2022-02-08T00:00:00,T,0,T,0
59,Tuesday1,2022-02-15T00:00:00,T,T,0,0
60,Tuesday1,2022-02-22T00:00:00,T,0,T,0
61,Tuesday1,2022-03-01T00:00:00,T,T,0,0
62,Tuesday1,2022-03-08T00:00:00,T,0,T,0
63,Tuesday1,2022-03-15T00:00:00,T,T,0,T
64,Tuesday1,2022-03-22T00:00:00,T,0,T,0
65,Tuesday1,2022-03-29T00:00:00,T,T,0,T
66,Tuesday1,2022-04-05T00:00:00,T,0,T,0
67,Tuesday1,2022-04-12T00:00:00,T,T,0,T
68,Tuesday1,2022-04-19T00:00:00,T,0,T,0
69,Tuesday1,2022-04-26T00:00:00,T,T,0,T
70,Tuesday1,2022-05-03T00:00:00,T,0,T,0
71,Tuesday1,2022-05-10T00:00:00,T,T,0,T
72,Tuesday1,2022-05-17T00:00:00,T,0,T,0
73,Tuesday1,2022-05-24T00:00:00,T,T,0,T
74,Tuesday1,2022-05-31T00:00:00,T,0,T,0
75,Tuesday1,2022-06-07T00:00:00,T,T,0,T
76,Tuesday1,2022-06-14T00:00:00,T,0,T,0
77,Tuesday1,2022-06-21T00:00:00,T,T,0,T
78,Tuesday1,2022-06-28T00:00:00,T,0,T,0
79,Tuesday1,2022-07-05T00:00:00,T,T,0,T
80,Tuesday1,2022-07-12T00:00:00,T,0,T,0
81,Tuesday1,2022-07-19T00:00:00,T,T,0,T
82,Tuesday1,2022-07-26T00:00:00,T,0,T,0
83,Tuesday1,2022-08-02T00:00:00,T,T,0,T
84,Tuesday1,2022-08-09T00:00:00,T,0,T,0
85,Tuesday1,2022-08-16T00:00:00,T,T,0,T
86,Tuesday1,2022-08-23T00:00:00,T,0,T,0
